"zip","latitude","longitude"
"01568",42.17,-71.60
"01569",42.07,-71.63
"01570",42.05,-71.84
"01571",42.04,-71.89
"01580",42.36,-71.89
"01581",42.26,-71.61
"01582",42.36,-71.89
"01583",42.35,-71.78
"01585",42.24,-72.15
"01586",42.36,-71.89
"01587",42.17,-71.62
"01588",42.11,-71.66
"01590",42.12,-71.75
"01601",42.26,-71.87
"01602",42.27,-71.84
"01603",42.24,-71.83
"01604",42.25,-71.77
"01605",42.28,-71.78
"01606",42.31,-71.79
"01607",42.23,-71.79
"01608",42.26,-71.80
"01609",42.28,-71.82
"01610",42.24,-71.81
"01611",42.23,-71.87
"01612",42.30,-71.92
"01613",42.29,-71.80
"01614",42.36,-71.89
"01615",42.36,-71.89
"01653",42.36,-71.89
"01654",42.36,-71.89
"01655",42.36,-71.89
"01701",42.30,-71.42
"01702",42.28,-71.43
"01703",42.44,-71.45
"01704",42.44,-71.45
"01705",42.44,-71.45
"01718",42.51,-71.42
"01719",42.48,-71.51
"01720",42.47,-71.44
"01721",42.25,-71.45
"01730",42.48,-71.27
"01731",42.45,-71.27
"01740",42.43,-71.60
"01741",42.52,-71.35
"01742",42.45,-71.37
"01745",42.29,-71.50
"01746",42.20,-71.43
"01747",42.12,-71.53
"01748",42.21,-71.53
"01749",42.39,-71.56
"01752",42.35,-71.54
"01754",42.43,-71.45
"01756",42.09,-71.54
"01757",42.15,-71.52
"01760",42.28,-71.35
"01770",42.23,-71.37
"01772",42.29,-71.53
"01773",42.42,-71.31
"01775",42.43,-71.51
"01776",42.38,-71.42
"01778",42.34,-71.35
"01784",42.44,-71.45
"01801",42.48,-71.15
"01803",42.50,-71.20
"01805",42.44,-71.45
"01806",42.44,-71.45
"01807",42.44,-71.45
"01808",42.44,-71.45
"01810",42.64,-71.15
"01812",42.64,-71.18
"01813",42.44,-71.45
"01814",42.50,-71.12
"01815",42.44,-71.45
"01821",42.55,-71.25
"01822",42.44,-71.45
"01824",42.59,-71.35
"01826",42.67,-71.31
"01827",42.67,-71.49
"01830",42.78,-71.07
"01831",42.77,-71.12
"01832",42.77,-71.10
"01833",42.72,-70.98
"01834",42.75,-71.02
"01835",42.75,-71.08
"01840",42.70,-71.16
"01841",42.71,-71.16
"01842",42.63,-70.87
"01843",42.69,-71.16
"01844",42.72,-71.18
"01845",42.68,-71.10
"01850",42.65,-71.30
"01851",42.63,-71.33
"01852",42.63,-71.29
"01853",42.44,-71.45
"01854",42.64,-71.33
"01860",42.83,-71.00
"01862",42.57,-71.29
"01863",42.63,-71.39
"01864",42.58,-71.09
"01865",42.44,-71.45
"01866",42.44,-71.45
"01867",42.52,-71.10
"01876",42.60,-71.22
"01879",42.67,-71.41
"01880",42.50,-71.06
"01885",42.63,-70.87
"01886",42.58,-71.44
"01887",42.55,-71.17
"01888",42.44,-71.45
"01889",42.57,-71.10
"01890",42.45,-71.14
"01899",42.63,-70.87
"01901",42.46,-70.94
"01902",42.46,-70.94
"01903",42.63,-70.87
"01904",42.48,-70.96
"01905",42.46,-70.97
"01906",42.46,-71.01
"01907",42.47,-70.90
"01908",42.42,-70.92
"01910",42.45,-70.97
"01913",42.85,-70.93
"01915",42.56,-70.87
"01921",42.67,-71.01
"01922",42.75,-70.93
"01923",42.56,-70.94
"01929",42.62,-70.78
"01930",42.62,-70.67
"01931",42.63,-70.87
"01936",42.63,-70.87
"01937",42.63,-70.87
"01938",42.68,-70.84
"01940",42.53,-71.03
"01944",42.57,-70.76
"01945",42.49,-70.86
"01947",42.64,-70.87
"01949",42.59,-71.01
"01950",42.81,-70.88
"01951",42.78,-70.84
"01952",42.85,-70.85
"01960",42.53,-70.96
"01961",42.63,-70.87
"01964",42.53,-70.94
"01965",42.55,-70.82
"01966",42.65,-70.61
"01969",42.71,-70.90
"01970",42.51,-70.90
"01971",42.63,-70.87
"01982",42.61,-70.85
"01983",42.64,-70.94
"01984",42.60,-70.87
"01985",42.79,-70.97
"02018",41.97,-70.70
"02019",42.07,-71.47
"02020",42.08,-70.64
"02021",42.16,-71.13
"02025",42.23,-70.81
"02026",42.24,-71.16
"02027",42.18,-71.08
"02030",42.23,-71.28
"02031",41.99,-71.20
"02032",42.15,-71.21
"02035",42.06,-71.24
"02038",42.09,-71.40
"02040",41.97,-70.70
"02041",42.06,-70.64
"02043",42.22,-70.89
"02044",41.97,-70.70
"02045",42.28,-70.87
"02047",42.14,-70.69
"02048",42.02,-71.21
"02050",42.10,-70.69
"02051",42.15,-70.73
"02052",42.18,-71.30
"02053",42.15,-71.42
"02054",42.16,-71.36
"02055",41.97,-70.70
"02056",42.11,-71.32
"02059",41.97,-70.70
"02060",41.97,-70.70
"02061",42.15,-70.82
"02062",42.18,-71.20
"02065",42.09,-70.65
"02066",42.20,-70.75
"02067",42.10,-71.17
"02070",42.18,-71.08
"02071",42.09,-71.27
"02072",42.12,-71.10
"02081",42.14,-71.25
"02090",42.21,-71.21
"02093",42.06,-71.33
"02101",42.37,-71.02
"02102",42.33,-70.91
"02103",42.33,-70.91
"02104",42.33,-70.91
"02105",42.33,-70.91
"02106",42.35,-71.07
"02107",42.33,-70.91
"02108",42.35,-71.06
"02109",42.36,-71.05
"02110",42.35,-71.05
"02111",42.35,-71.06
"02112",42.33,-70.91
"02113",42.36,-71.05
"02114",42.36,-71.06
"02115",42.34,-71.09
"02116",42.34,-71.07
"02117",42.35,-71.05
"02118",42.33,-71.07
"02119",42.32,-71.08
"02120",42.33,-71.09
"02121",42.30,-71.08
"02122",42.29,-71.05
"02123",42.33,-70.91
"02124",42.28,-71.07
"02125",42.31,-71.06
"02126",42.27,-71.09
"02127",42.33,-71.03
"02128",42.36,-71.02
"02129",42.37,-71.06
"02130",42.31,-71.11
"02131",42.28,-71.12
"02132",42.27,-71.15
"02133",42.33,-70.91
"02134",42.35,-71.13
"02135",42.34,-71.15
"02136",42.25,-71.12
"02137",42.33,-70.91
"02138",42.37,-71.12
"02139",42.36,-71.10
"02140",42.39,-71.13
"02141",42.36,-71.08
"02142",42.36,-71.08
"02143",42.38,-71.10
"02144",42.40,-71.12
"02145",42.39,-71.09
"02146",42.30,-71.08
"02147",42.18,-71.08
"02148",42.42,-71.06
"02149",42.41,-71.05
"02150",42.39,-71.03
"02151",42.41,-71.00
"02152",42.37,-70.98
"02153",42.44,-71.45
"02154",42.38,-71.23
"02155",42.41,-71.10
"02156",42.44,-71.45
"02157",42.17,-71.18
"02158",42.35,-71.18
"02159",42.31,-71.19
"02160",42.44,-71.45
"02161",42.44,-71.45
"02162",42.33,-71.25
"02163",42.32,-71.11
"02164",42.44,-71.45
"02165",42.44,-71.45
"02166",42.34,-71.24
"02167",42.32,-71.16
"02168",42.44,-71.45
"02169",42.24,-70.99
"02170",42.26,-71.01
"02171",42.28,-71.02
"02172",42.37,-71.17
"02173",42.44,-71.45
"02174",42.41,-71.16
"02175",42.44,-71.45
"02176",42.45,-71.06
"02177",42.44,-71.45
"02178",42.44,-71.45
"02179",42.44,-71.45
"02180",42.48,-71.09
"02181",42.30,-71.27
"02184",42.20,-70.99
"02185",42.18,-71.08
"02186",42.25,-71.07
"02187",42.18,-71.08
"02188",42.21,-70.95
"02189",42.21,-70.93
"02190",42.17,-70.94
"02191",42.24,-70.94
"02192",42.18,-71.08
"02193",42.44,-71.45
"02194",42.29,-71.22
"02195",42.44,-71.45
"02196",42.33,-70.91
"02199",42.34,-71.08
"02201",42.33,-70.91
"02202",42.36,-71.06
"02203",42.36,-71.06
"02204",42.33,-70.91
"02205",42.35,-71.05
"02206",42.33,-70.91
"02207",42.33,-70.91
"02208",42.33,-70.91
"02209",42.33,-70.91
"02210",42.34,-71.04
"02211",42.33,-70.91
"02212",42.44,-71.45
"02215",42.34,-71.10
"02216",42.33,-70.91
"02217",42.33,-70.91
"02222",42.36,-71.06
"02228",42.34,-71.08
"02238",42.44,-71.45
"02239",42.44,-71.45
"02241",42.33,-70.91
"02254",42.44,-71.45
"02258",42.44,-71.45
"02266",42.33,-70.91
"02269",42.18,-71.08
"02272",42.44,-71.45
"02277",42.44,-71.45
"02283",42.33,-70.91
"02284",42.33,-70.91
"02293",42.33,-70.91
"02295",42.33,-70.91
"02297",42.33,-70.91
"02298",42.38,-71.03
"02301",42.07,-71.04
"02302",42.08,-71.00
"02303",41.97,-70.70
"02304",41.97,-70.70
"02305",41.97,-70.70
"02322",42.12,-71.04
"02324",41.97,-70.97
"02325",41.98,-70.97
"02327",42.04,-70.82
"02330",41.88,-70.76
"02331",41.97,-70.70
"02332",42.03,-70.71
"02333",42.03,-70.94
"02334",42.02,-71.13
"02337",42.02,-70.93
"02338",42.00,-70.84
"02339",42.12,-70.85
"02340",42.11,-70.81
"02341",42.06,-70.86
"02343",42.14,-71.00
"02344",41.97,-70.70
"02345",41.88,-70.58
"02346",41.88,-70.89
"02347",41.83,-70.95
"02348",41.97,-70.70
"02349",41.97,-70.70
"02350",42.01,-70.84
"02351",42.11,-70.95
"02355",41.91,-70.80
"02356",42.05,-71.11
"02357",42.06,-71.08
"02358",41.95,-70.71
"02359",42.06,-70.80
"02360",41.91,-70.64
"02361",41.97,-70.70
"02362",41.97,-70.70
"02363",41.92,-70.65
"02364",41.99,-70.74
"02366",41.85,-70.70
"02367",41.96,-70.80
"02368",42.17,-71.05
"02370",42.12,-70.91
"02375",42.02,-71.09
"02379",42.02,-71.01
"02381",41.93,-70.56
"02382",42.08,-70.93
"02401",42.07,-71.03
"02402",42.08,-70.99
"02403",41.97,-70.70
"02404",41.97,-70.70
"02405",41.97,-70.70
"02411",42.08,-71.01
"02420",42.45,-71.21
"02421",42.44,-71.22
"02445",42.32,-71.13
"02446",42.34,-71.12
"02447",42.18,-71.08
"02451",42.39,-71.24
"02452",42.39,-71.21
"02453",42.36,-71.23
"02454",42.35,-71.25
"02455",42.36,-71.20
"02456",42.44,-71.45
"02457",42.18,-71.08
"02458",42.35,-71.18
"02459",42.33,-71.18
"02460",42.35,-71.20
"02461",42.31,-71.20
"02462",42.32,-71.25
"02464",42.31,-71.21
"02465",42.34,-71.22
"02466",42.34,-71.24
"02467",42.31,-71.16
"02468",42.32,-71.23
"02471",42.44,-71.45
"02472",42.37,-71.17
"02474",42.42,-71.15
"02475",42.44,-71.45
"02476",42.41,-71.17
"02477",42.44,-71.45
"02478",42.41,-71.20
"02479",42.44,-71.45
"02481",42.31,-71.27
"02482",42.29,-71.29
"02492",42.27,-71.25
"02493",42.35,-71.30
"02494",42.29,-71.23
"02495",42.44,-71.45
"02499",42.08,-71.02
"02532",41.74,-70.59
"02534",41.66,-70.62
"02535",41.35,-70.74
"02536",41.59,-70.56
"02537",41.72,-70.44
"02538",41.76,-70.65
"02539",41.38,-70.53
"02540",41.56,-70.62
"02541",41.79,-70.30
"02542",41.65,-70.55
"02543",41.52,-70.66
"02552",41.37,-70.64
"02553",41.67,-70.60
"02554",41.27,-70.09
"02556",41.64,-70.62
"02557",41.41,-70.56
"02558",41.74,-70.65
"02559",41.68,-70.61
"02561",41.77,-70.53
"02562",41.79,-70.51
"02563",41.71,-70.47
"02564",41.27,-70.01
"02565",41.79,-70.30
"02568",41.45,-70.59
"02571",41.75,-70.71
"02573",41.37,-70.64
"02574",41.60,-70.63
"02575",41.42,-70.64
"02576",41.77,-70.76
"02584",41.27,-70.04
"02601",41.66,-70.29
"02630",41.69,-70.30
"02631",41.74,-70.06
"02632",41.66,-70.35
"02633",41.68,-69.97
"02634",41.79,-70.30
"02635",41.62,-70.43
"02636",41.79,-70.30
"02637",41.70,-70.27
"02638",41.73,-70.19
"02639",41.66,-70.13
"02641",41.73,-70.20
"02642",41.84,-69.98
"02643",41.78,-69.96
"02644",41.68,-70.51
"02645",41.70,-70.05
"02646",41.67,-70.07
"02647",41.63,-70.30
"02648",41.67,-70.41
"02649",41.61,-70.48
"02650",41.70,-69.96
"02651",41.82,-69.98
"02652",42.03,-70.08
"02653",41.77,-69.98
"02655",41.63,-70.38
"02657",42.05,-70.18
"02659",41.68,-70.02
"02660",41.70,-70.15
"02661",41.68,-70.03
"02662",41.75,-69.98
"02663",41.80,-70.07
"02664",41.67,-70.19
"02666",41.99,-70.05
"02667",41.92,-70.01
"02668",41.70,-70.37
"02669",41.69,-70.00
"02670",41.66,-70.16
"02671",41.66,-70.11
"02672",41.63,-70.32
"02673",41.66,-70.23
"02675",41.70,-70.22
"02702",41.79,-71.06
"02703",41.92,-71.30
"02712",41.75,-71.06
"02713",41.42,-70.93
"02714",41.75,-71.06
"02715",41.81,-71.14
"02717",41.76,-70.96
"02718",41.87,-71.01
"02719",41.64,-70.88
"02720",41.71,-71.14
"02721",41.68,-71.15
"02722",41.75,-71.06
"02723",41.69,-71.13
"02724",41.68,-71.17
"02725",41.72,-71.17
"02726",41.75,-71.14
"02738",41.70,-70.76
"02739",41.66,-70.81
"02740",41.63,-70.93
"02741",41.75,-71.06
"02742",41.61,-70.95
"02743",41.69,-70.90
"02744",41.61,-70.91
"02745",41.69,-70.93
"02746",41.66,-70.93
"02747",41.63,-70.99
"02748",41.56,-70.98
"02754",41.86,-71.12
"02760",41.97,-71.32
"02761",41.75,-71.06
"02762",42.01,-71.32
"02763",41.97,-71.30
"02764",41.85,-71.14
